table_name|cols
base_tracklatecomeearlyout|id:bigint, created_at:timestamp with time zone, is_active:boolean, is_enable:boolean, created_by_id:integer, modified_by_id:integer
base_worktype|id:bigint, created_at:timestamp with time zone, is_active:boolean, work_type:character varying, created_by_id:integer, modified_by_id:integer
base_worktype_company_id|id:bigint, worktype_id:bigint, company_id:bigint
base_worktyperequest|id:bigint, created_at:timestamp with time zone, is_active:boolean, requested_date:date, requested_till:date, description:text, is_permanent_work_type:boolean, approved:boolean, canceled:boolean, work_type_changed:boolean, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, previous_work_type_id_id:bigint, work_type_id_id:bigint
base_worktyperequestcomment|id:bigint, created_at:timestamp with time zone, is_active:boolean, comment:text, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, request_id_id:bigint
base_worktyperequestcomment_files|id:bigint, worktyperequestcomment_id:bigint, baserequestfile_id:bigint
biometric_biometricdevices|created_at:timestamp with time zone, is_active:boolean, id:uuid, name:character varying, machine_type:character varying, machine_ip:character varying, port:integer, zk_password:character varying, bio_username:character varying, bio_password:character varying, anviz_request_id:character varying, api_url:character varying, api_key:character varying, api_secret:character varying, api_token:character varying, api_expires:character varying, is_live:boolean, is_scheduler:boolean, scheduler_duration:character varying, last_fetch_date:date, last_fetch_time:time without time zone, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
biometric_biometricemployees|id:uuid, uid:integer, ref_user_id:integer, user_id:character varying, dahua_card_no:character varying, device_id_id:uuid, employee_id_id:bigint
biometric_cosecattendancearguments|id:uuid, last_fetch_roll_ovr_count:character varying, last_fetch_seq_number:character varying, device_id_id:uuid
django_admin_log|id:integer, action_time:timestamp with time zone, object_id:text, object_repr:character varying, action_flag:smallint, change_message:text, content_type_id:integer, user_id:integer
django_apscheduler_djangojob|id:character varying, next_run_time:timestamp with time zone, job_state:bytea
django_apscheduler_djangojobexecution|id:bigint, status:character varying, run_time:timestamp with time zone, duration:numeric, finished:numeric, exception:character varying, traceback:text, job_id:character varying
django_content_type|id:integer, app_label:character varying, model:character varying
django_migrations|id:bigint, app:character varying, name:character varying, applied:timestamp with time zone
django_session|session_key:character varying, session_data:text, expire_date:timestamp with time zone
employee_actiontype|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, action_type:character varying, block_option:boolean, created_by_id:integer, modified_by_id:integer
employee_bonuspoint|id:bigint, created_at:timestamp with time zone, is_active:boolean, points:integer, encashment_condition:character varying, redeeming_points:integer, reason:text, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer
employee_disciplinaryaction|id:bigint, created_at:timestamp with time zone, is_active:boolean, description:text, unit_in:character varying, days:integer, hours:character varying, start_date:date, attachment:character varying, action_id:bigint, created_by_id:integer, modified_by_id:integer
employee_disciplinaryaction_employee_id|id:bigint, disciplinaryaction_id:bigint, employee_id:bigint
employee_employee|id:bigint, badge_id:character varying, employee_first_name:character varying, employee_last_name:character varying, employee_profile:character varying, email:character varying, phone:character varying, address:text, country:character varying, state:character varying, city:character varying, zip:character varying, dob:date, gender:character varying, qualification:character varying, experience:integer, marital_status:character varying, children:integer, emergency_contact:character varying, emergency_contact_name:character varying, emergency_contact_relation:character varying, is_active:boolean, additional_info:jsonb, is_from_onboarding:boolean, is_directly_converted:boolean, employee_user_id_id:integer
employee_employeebankdetails|id:bigint, created_at:timestamp with time zone, is_active:boolean, bank_name:character varying, account_number:character varying, branch:character varying, address:text, country:character varying, state:character varying, city:character varying, any_other_code1:character varying, any_other_code2:character varying, additional_info:jsonb, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer
employee_employeegeneralsetting|id:bigint, created_at:timestamp with time zone, is_active:boolean, badge_id_prefix:character varying, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
employee_employeenote|id:bigint, created_at:timestamp with time zone, is_active:boolean, description:text, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, updated_by_id:bigint
employee_employeenote_note_files|id:bigint, employeenote_id:bigint, notefiles_id:bigint
employee_employeetag|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, color:character varying, created_by_id:integer, modified_by_id:integer
